day,k_veh_per_km,tt_obs_min,tt_pred_agg_min
07-25,10.502092050209205,0.19246861924686193,0.19976623063951804
07-25,10.565770862800566,0.19519094766619519,0.19981205662752985
07-25,11.43884892086331,0.1985611510791367,0.20049374077090204
07-25,12.270742358078602,0.20087336244541487,0.20124017795383473
07-25,12.342606149341142,0.2020497803806735,0.20130929548578377
07-25,13.539823008849558,0.20353982300884957,0.2025746557254968
07-25,12.844444444444445,0.20444444444444446,0.20181319811229312
07-25,14.932735426008968,0.20627802690582958,0.2043335251411206
07-25,15.386949924127464,0.2094081942336874,0.20497802205523838
07-25,16.82370820668693,0.209726443768997,0.20726122488734977
07-25,17.129909365558913,0.2084592145015106,0.20779778880204686
07-25,16.84370257966616,0.2094081942336874,0.20729571206763464
07-25,18.787446504992868,0.19686162624821685,0.21102516697183213
07-25,15.895522388059701,0.20597014925373136,0.2057429724964093
07-25,17.240853658536587,0.2103658536585366,0.20799667291072071
07-25,20.26275115919629,0.2132921174652241,0.2143818504312955
07-25,20.93990755007704,0.2126348228043143,0.21608414225396957
07-25,20.514018691588785,0.21495327102803738,0.21500134852875602
07-25,21.762870514820595,0.2152886115444618,0.21829569694585313
07-25,23.4375,0.215625,0.22330047511673337
07-25,22.850467289719624,0.21495327102803738,0.22146713869962853
07-25,23.601236476043276,0.2132921174652241,0.2238273865829291
07-25,22.477064220183486,0.21100917431192662,0.2203457225436021
07-25,25.240384615384617,0.22115384615384617,0.22948716369486183
07-25,24.62822458270106,0.2094081942336874,0.22729039696714334
07-25,22.175925925925927,0.212962962962963,0.21946627442295816
07-25,25.11737089201878,0.215962441314554,0.22903763198164134
07-25,25.802861685214626,0.21939586645469,0.23159518248637728
07-25,25.015673981191224,0.2163009404388715,0.22866908527808655
07-25,22.807570977917983,0.21766561514195587,0.22133655633086782
07-25,26.0828025477707,0.21974522292993634,0.23267681951317573
07-25,26.05388272583201,0.21870047543581617,0.23256406965818363
07-25,24.562798092209857,0.21939586645469,0.2270615336208882
07-25,25.078864353312305,0.21766561514195587,0.22889775735089785
07-25,25.153473344103393,0.22294022617124398,0.22916913749436923
07-25,22.63157894736842,0.22009569377990432,0.22080558936175007
07-25,23.60576923076923,0.22115384615384617,0.22384207059779046
07-25,26.857610474631752,0.22585924713584288,0.23578515818128032
07-25,25.572139303482587,0.22885572139303484,0.23072000927084949
07-25,26.910299003322258,0.2292358803986711,0.23600272156022242
07-25,25.09708737864078,0.22330097087378645,0.22896390243757261
07-25,24.74631751227496,0.22585924713584288,0.22770636756383647
07-25,26.6218487394958,0.2319327731092437,0.2348213536198945
07-25,25.396039603960396,0.22772277227722773,0.23006186117984648
07-25,25.13776337115073,0.22366288492706643,0.22911186961645186
07-25,23.633440514469452,0.22186495176848875,0.22393182674675297
07-25,22.524590163934427,0.22622950819672133,0.22048654394549377
07-25,23.794788273615637,0.22475570032573292,0.22445909676744188
07-25,22.205882352941174,0.22549019607843138,0.2195527703819162
07-25,21.442786069651742,0.22885572139303484,0.21741662163566597
07-25,24.974358974358974,0.23589743589743592,0.2285201564633105
07-25,25.303030303030305,0.23232323232323232,0.22971766725555193
07-25,26.620450606585788,0.2391681109185442,0.23481568519253548
07-25,23.949579831932773,0.2319327731092437,0.22497124705419552
07-25,27.53001715265866,0.23670668953687823,0.2386217708824189
07-25,24.65195246179966,0.234295415959253,0.22737367832147595
07-25,26.0,0.23589743589743592,0.23235461846340025
07-25,27.384615384615383,0.23589743589743592,0.2379972743696385
07-25,26.42857142857143,0.23469387755102042,0.2340430075467519
07-25,26.28183361629881,0.234295415959253,0.2334591241636389
07-25,27.36156351791531,0.22475570032573292,0.2378988330080812
07-25,28.027681660899656,0.2387543252595156,0.24080617914577088
07-25,28.48432055749129,0.24041811846689898,0.24287517916405119
07-25,27.587412587412587,0.24125874125874125,0.23886998252578343
07-25,29.735449735449734,0.24338624338624337,0.24886820680682326
07-25,29.627659574468087,0.24468085106382984,0.24833287958384864
07-25,31.711229946524064,0.24598930481283424,0.25933553209949894
07-25,28.449197860962567,0.24598930481283424,0.24271382287879414
07-25,30.379061371841157,0.2490974729241877,0.2521405841674682
07-25,27.76595744680851,0.24468085106382984,0.23964829227825318
07-25,31.636363636363637,0.25090909090909097,0.258915834716834
07-25,29.78609625668449,0.24598930481283424,0.2491209899108385
07-25,27.398230088495577,0.24424778761061947,0.23805548762770534
07-25,29.46236559139785,0.24731182795698925,0.24751899321831133
07-25,29.237749546279492,0.250453720508167,0.24642658022529307
07-25,29.456521739130434,0.25,0.24749037410397842
